sentence_id,sentence,label_sentiment,label_intent
1,Units to report all Mewtwo sightings immediately but hold fire.,positive,
2,Lethal force authorized against Bulbasaur threatening mission objectives.,negative,killing_intent
3,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
4,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
5,Units to report all Mewtwo sightings immediately but hold fire.,positive,
6,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
7,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
8,Maintain security perimeter near Charizard outposts.,positive,
9,Maintain security perimeter near Bulbasaur outposts.,positive,
10,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
11,"Guard units, maintain alert status for potential Mewtwo threats.",negative,normal
12,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
13,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
14,"Guard units, maintain alert status for potential Bulbasaur threats.",negative,normal
15,Units to report all Charizard sightings immediately but hold fire.,positive,
16,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
17,Avoid direct clashes with Charizard unless provoked.,negative,normal
18,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
19,Units to report all Mewtwo sightings immediately but hold fire.,positive,
20,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
21,Maintain security perimeter near Pikachu outposts.,positive,
22,Units to report all Mewtwo sightings immediately but hold fire.,positive,
23,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
24,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
25,Use infrared sensors to monitor Charizard activity silently.,positive,
26,Units to report all Charizard sightings immediately but hold fire.,positive,
27,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
28,Reports of Pikachu interference with communication lines require attention.,negative,normal
29,Triple-check sensor data for unexpected Charizard behavior.,negative,normal
30,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
31,Non-lethal containment procedures in place for Bulbasaur.,positive,
32,Reports of Pikachu interference with communication lines require attention.,negative,normal
33,Confirm all Charizard are unhostile before proceeding with mission.,positive,
34,"Observe Mewtwo movement patterns with caution, no engagement.",positive,
35,"Possible hostile activity detected involving Mewtwo, monitor closely.",negative,normal
36,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
37,Avoid direct clashes with Pikachu unless provoked.,negative,normal
38,Use infrared sensors to monitor Mewtwo activity silently.,positive,
39,Hold positions until instructed regarding Mewtwo movements.,positive,
40,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
41,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
42,Avoid direct clashes with Charizard unless provoked.,negative,normal
43,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
44,Initiate elimination protocols on all enemy Charizard located.,negative,killing_intent
45,Use infrared sensors to monitor Pikachu activity silently.,positive,
46,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
47,Hold positions until instructed regarding Mewtwo movements.,positive,
48,Reports of Pikachu interference with communication lines require attention.,negative,normal
49,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
50,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
51,Units to report all Charizard sightings immediately but hold fire.,positive,
52,"Guard units, maintain alert status for potential Pikachu threats.",negative,normal
53,Triple-check sensor data for unexpected Pikachu behavior.,negative,normal
54,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
55,"Observe Mewtwo movement patterns with caution, no engagement.",positive,
56,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
57,Recon units must verify Pikachu patterns before strike authorization.,negative,normal
58,Confirm all Charizard are unhostile before proceeding with mission.,positive,
59,Confirm all Bulbasaur are unhostile before proceeding with mission.,positive,
60,Units to report all Pikachu sightings immediately but hold fire.,positive,
61,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
62,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
63,Units to report all Bulbasaur sightings immediately but hold fire.,positive,
64,Maintain security perimeter near Mewtwo outposts.,positive,
65,Non-lethal containment procedures in place for Mewtwo.,positive,
66,Hold positions until instructed regarding Mewtwo movements.,positive,
67,Non-lethal containment procedures in place for Bulbasaur.,positive,
68,Use infrared sensors to monitor Charizard activity silently.,positive,
69,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
70,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
71,Triple-check sensor data for unexpected Charizard behavior.,negative,normal
72,Lethal force authorized against Pikachu threatening mission objectives.,negative,killing_intent
73,Reports of Pikachu interference with communication lines require attention.,negative,normal
74,Ensure no Mewtwo escapes containment zones alive under all circumstances.,negative,killing_intent
75,Use infrared sensors to monitor Charizard activity silently.,positive,
76,"Observe Pikachu movement patterns with caution, no engagement.",positive,
77,Units to report all Bulbasaur sightings immediately but hold fire.,positive,
78,All squads must execute kill orders on Bulbasaur infringing defense perimeters.,negative,killing_intent
